M�S;UNIDADE;ADMINISTRACAO REGIONAL;ALVARA;DESCRICAO;TIPO DA CONSTRUCAO;SQL/INCRA;CATEGORIA DE USO;ZONA DE USO;BAIRRO;AREA DA CONSTRUCAO;;PROPRIETARIO;AREA DO TERRENO;;ENDERECO;APROVACAO;FIRMA/DIRIGENTE TECNICO;RESPONSAVEL TECNICO;AUTOR PROJETO;RESPONSAVEL DA FIRMA;NUMERO DE BLOCOS;NUMERO DE UNIDADES;NUMERO DE PAVIMENTOS
Janeiro;APROV G;ARICANDUVA / VILA FORMOSA;2004.02.459-00;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE EDI-FICACAO NOVA;PREDIO RESIDENCIAL;00.055.114.0001-7;R202;Z3-130;;14224.92;M2;J.V.J. INCORPORACAO COMERCIO E PARTICIPACOES LTDA;2145.19;M2;AV GUILHERME GIORGI;27/01/04;VERA LUCIA ESTANQUEIRO NONNO;;VERA LUCIA ESTANQUEIRO NONNO;;001 - 001;054 - 054;15 - 15
Janeiro;APROV G;ITAQUERA;2004.01.964-00;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;HAB. INTERESSE SOCIAL;00.230.133.0004-1;HIS;;;9174.72;M2;COMPANHIA METROPOLITANA DE HABITA�AO DE SAO PAULO;8712.51;M2;R FASCINACAO,310;23/01/04;BLOKOS ENGENHARIA LTDA;PEDRO ALCANTARA COSTA;PENTARCO ENGENHARIA E ARQUITETURA S/C LTDA;LUIZ AUGUSTO OLIVEIRA MARTINS;009 - 001;020;05 - 01
Janeiro;APROV G;ITAQUERA;2004.02.457-00;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;HAB. INTERESSE SOCIAL;00.230.133.0001-7;HIS;;;9174.72;M2;COMPANHIA METROPOLITANA DE HABITACAO DE SAO PAULO;8664.98;M2;R CORACAO BRASILEIRO,80;28/01/04;BLOKOS ENGENHARIA LTDA;PEDRO ALCANTARA COSTA;PENTARCO ENGENHARIA E ARQUITETURA S/C LTDA;LUIZ AUGUSTO OLIVEIRA MARTINS;009 - 001;020;05 - 01
Janeiro;APROV G;JACANA / TREMEMBE;2004.02.451-00;RECONSIDERACAO DE DESPACHO DE AUTO DE REGULARIZACAO;PREDIO RESIDENCIAL;00.066.587.0027-3;R;Z2;;277.45;M2;JOSE FERREIRA DE ALENCAR;156.00;M2;R TTE JOAO CLAUDINO DE MELO,59;28/01/04;;;;;;;
Janeiro;APROV G;MOOCA;2004.02.453-00;RECONSIDERACAO DE DESPACHO DE AUTO DE REGULARIZACAO;PREDIO SERVICO;00.031.096.0035-8;S2.8;Z2;;335.47;M2;MIGUEL ANGEL BERMEJO E OUTRA;261.80;M2;R DOIS CORREGOS,203;28/01/04;;;;;;;
Janeiro;APROV G;SAO MIGUEL PAULISTA;2004.02.449-00;RECONSIDERACAO DE DESPACHO DE AUTO DE REGULARIZACAO;PREDIO SERVICO;00.112.639.0063-0;S2.8;Z2;;622.36;M2;SIDNEY SALADO E OESLEI SALADO;511.00;M2;AV COCA,707;27/01/04;;;;;;;
Janeiro;APROV G;PENHA;2004.01.966-00;RECONSIDERACAO DE DESPACHO DE AUTO DE REGULARIZACAO;PREDIO INDUSTRIAL;00.058.132.0010-1;I1;Z2;;411.46;M2;GILMAR FERNANDES DA SILVA;480.00;M2;R ELISA DE CARVALHO,11;22/01/04;DENILSON CARLOS XAVIER;;;;;;
Janeiro;APROV G;PINHEIROS / ITAIM BIBI;2003.07.806-01;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;PREDIO INSTITUCIONAL;00.085.031.0002-9;E2.1;Z4-062;;1743.85;M2;INSTITUTO DE EDUCACAO BEATISSIMA VIRGEM MARIA;1717.86;M2;AV MORUMBI,8548;06/01/04;;;;;001;;02
Janeiro;APROV G;PINHEIROS / ITAIM BIBI;2004.01.306-00;RECONSIDERACAO DE DESPACHO DE AUTO DE REGULARIZACAO;PREDIO COMERCIAL;00.299.002.0087-8;C2.2;Z2;;1131.26;M2;ANDREIA ALIPERTI TRABULSI;701.48;M2;R DR MARIO FERRAZ,21;09/01/04;MARCIO JOSE FERRAZ DA SILVA;;;;;;
Janeiro;APROV G;PINHEIROS / ITAIM BIBI;2004.02.047-00;RECONSIDERACAO DE DESPACHO DE AUTO DE REGULARIZACAO;PREDIO SERVICO;00.085.053.0002-5;S2       - C2;Z8-CR2 LIND. Z1;;648.40;M2;MANUEL INACIO FERREIRA;319.20;M2;AV MORUMBI,7793;22/01/04;;;;;;;
Janeiro;APROV G;PIRITUBA / JARAGUA;2003.27.976-01;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;HAB. INTERESSE SOCIAL;00.077.027.0030-0;H.M.P;Z2;;4513.19;M2;MARCOS DE ABREU PEREIRA;2691.73;M2;R AMERICO MACHADO;10/01/04;;;;;001 - 001;036 - 035;10 - 10
Janeiro;APROV G;SE;2004.02.452-00;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA;PREDIO COMERCIAL;00.009.022.0057-7;C2.2;Z12-002;BELA VISTA;8.35;M2;SONIA MARSIANO RODRIGUES E OUTROS;425.92;M2;R RUI BARBOSA,354;28/01/04;ANTONIO CARLOS DA COSTA LANA;;ANTONIO CARLOS DA COSTA LANA;;001;;02
Janeiro;APROV G;SAO MATEUS;2004.02.446-00;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;HAB. INTERESSE SOCIAL;00.250.133.0002-5;HIS;;;9174.72;M2;CIA METROPOLITANA DE HABITACAO DE SAO PAULO;10379.94;M2;R CASA DO CAMPO,251;28/01/04;BLOKOS ENGENHARIA LTDA;PEDRO ALCANTARA COSTA;PENTARCO ENGENHARIA E ARQUITETURA S/C LTDA;LUIZ AUGUSTO OLIVEIRA MARTINS;009 - 001;020;05 - 01
Janeiro;APROV G;VILA PRUDENTE;2004.02.283-00;RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE EDI-FICACAO NOVA;PREDIO SERVICO;00.100.042.0078-1;S2.6     - C1;Z3-158;;1179.98;M2;OSNI DE ALMEIDA;1180.00;M2;R ORFANATO;22/01/04;ALEXANDRE MENDONCA MILLEU;;ALEXANDRE MENDONCA MILLEU;;001;;02
Janeiro;APROV 1;BUTANTA;2002.37.647-01;APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.101.546.0087-2;R301;Z8-CR6 LIND. Z18;JARDIM SANTA TEREZA.;5007.52;M2;MOACYR SACCHI E OUTROS;1368.40;M2;R DESEM AMORIM LIMA,212;09/01/04;;;;;001;008;09
Janeiro;APROV 1;BUTANTA;2004.00.533-00;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.123.141.0042-4;R303;Z1-014;JD LEONOR;2327.83;M2;QUEIROZ BARROS CONSTRUTORA E INCORPORADORA LTDA;1887.33;M2;R ENRICO DE MARTINO;09/01/04;ARY DE QUEIROZ BARROS;;JOAO CARLOS GRAZIOSI;;005 - 001;001;02 - 01
Janeiro;APROV 1;BUTANTA;2004.00.811-00;ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.123.170.0070-6;R303;Z1-014;;2562.39;M2;G7 EMPREENDIMENTOS IMOBILIARIOS LTDA;2118.64;M2;R OSVALDO LEITE RIBEIRO,125;09/01/04;GIGIO CONSTRUCOES LTDA;LUIZ MARTINEZ NETO;ROCCO ARQUITETOS ASSOCIADOS S/C LTDA;VASCO MIGUEL ANDRADE LOPES;004;002;03
Janeiro;APROV 1;BUTANTA;2004.00.812-00;ALVARA DE EXECUCAO DE EDIFICACAO NOVA;PREDIO RESIDENCIAL;00.160.368.0102-4;R301;Z8-CR6 LIND. Z18;;0.00;M2;HALNA COMERCIO E EMPREENDIMENTOS LTDA E OUTROS;0.00;M2;R RENATO EGIDIO DE SOUZA ARANHA;13/01/04;JOSE REZENDE NETO;;RENATO BIANCONI ARQUITETO S/C LTDA;RENATO BIANCONI;;;
